x,y,interior,uz,uz_exact,uz_error,ur,ur_exact,ur_error,p,p_exact,p_error,mu_t,mu_t_exact,mu_t_error,mu_eff,mu_eff_exact,mu_eff_error
0.28125,0.15625,True,0.07458301511766,0.07389287438672909,0.0006901407309309049,-0.02640776996164,-0.02630446850162116,-0.00010330146001884255,0.029445613221122,0.006866455078125,0.022579158142997,0.022017954374475,0.022214205925828272,-0.00019625155135327352,0.032017954374475,0.03221420592582827,-0.00019625155135327005
0.28125,0.21875,True,0.06732156637788,0.06664615043519007,0.0006754159426899387,-0.035158702547522,-0.03507808060021489,-8.06219473071107e-05,0.035814595776195,0.013458251953125,0.022356343823070002,0.019950445365518,0.020120937494420777,-0.0001704921289027786,0.029950445365518,0.030120937494420776,-0.00017049212890277513
0.28125,0.28125,True,0.05800908516948,0.05740286736363487,0.0006062178058451329,-0.04225657212888,-0.04218853504062281,-6.803708825719318e-05,0.044434085846258,0.022247314453125,0.022186771393133,0.017365209563792,0.017505560604816676,-0.00014035104102467708,0.027365209563792,0.027505560604816674,-0.0001403510410246736
0.28125,0.34375,True,0.047023380845879,0.046522181341060787,0.0005011995048182158,-0.047331177007352,-0.04728209769746172,-4.907930989028059e-05,0.055285675147661,0.033233642578125,0.022052032569536,0.014440569843587,0.014540518679230736,-9.994883564373724e-05,0.024440569843587,0.02454051867923074,-9.994883564373724e-05
0.28125,0.40625,True,0.034840345821652,0.03445303757871443,0.00038730824293756877,-0.050116571205893,-0.05009612477806513,-2.0446427827870706e-05,0.068366509023875,0.046417236328125,0.021949272695750005,0.011451539723283,0.011489734578031994,-3.819485474899388e-05,0.021451539723283,0.021489734578031994,-3.8194854748992146e-05
0.28125,0.46875,True,0.022040593539906,0.02173417033009173,0.00030642320981427024,-0.050472266939995,-0.050479305118642515,7.038178647514326e-06,0.083685875583842,0.061798095703125,0.021887779880716995,0.0088290852012631,0.0087921469811055,3.693822015760073e-05,0.018829085201263,0.018792146981105498,3.693822015750359e-05
0.28125,0.53125,True,0.0092924546152568,0.008994102890937938,0.00029835172431886235,-0.048424936654113,-0.048411902480438584,-1.3034173674417171e-05,0.10122989923468,0.079376220703125,0.021853678531554996,0.0072188168070698,0.007167190788406575,5.162601866322541e-05,0.01721881680707,0.017167190788406575,5.1626018663424034e-05
0.28125,0.59375,True,-0.002737437429408,-0.0030488524007523665,0.00031141497134436636,-0.044136607446621,-0.04402599784589256,-0.00011060960072843684,0.12095007876391,0.099151611328125,0.021798467435784993,0.0071788793362989,0.007213673993803248,-3.479465750434816e-05,0.017178879336299,0.017213673993803247,-3.479465750424668e-05
0.28125,0.65625,True,-0.013328080246846,-0.013586594164735288,0.00025851391788928903,-0.037818023466065,-0.03762573171479744,-0.00019229175126755926,0.1428263477952,0.121124267578125,0.02170208021707501,0.0082926982278592,0.008412448321028783,-0.00011975009316958322,0.018292698227859,0.018412448321028785,-0.00011975009316978619
0.28125,0.71875,True,-0.021551728992859,-0.021721231978517608,0.00016950298565860875,-0.029938589327245,-0.02970754640045925,-0.00023104292678574959,0.1668874719256,0.145294189453125,0.021593282472474995,0.0095355493651274,0.009708676483566431,-0.0001731271184390315,0.019535549365127,0.01970867648356643,-0.0001731271184394305
0.28125,0.78125,True,-0.026394970576127,-0.026465086377356783,7.011580122978298e-05,-0.021218455473387,-0.020980428325856337,-0.00023802714753066306,0.19317792449712,0.171661376953125,0.021516547543995013,0.010223820981447,0.010410370700903044,-0.00018654971945604448,0.020223820981447,0.020410370700903045,-0.00018654971945604448
0.28125,0.84375,True,-0.026792112574799,-0.026740688854260952,-5.1423720538047724e-05,-0.012550476976837,-0.012386150319798617,-0.00016432665703838313,0.22180222670497,0.200225830078125,0.02157639662684499,0.010152808008895,0.010258405969992024,-0.00010559796109702382,0.020152808008895,0.020258405969992024,-0.00010559796109702382
0.28125,0.90625,False,-0.021640156713494,-0.02138078185998893,-0.0002593748535050719,-0.0049457888679569,-0.005119513913086848,0.00017372504512994796,0.25288659335331,0.230987548828125,0.021899044525184985,0.009740347933691,0.009708039323708935,3.230860998206485e-05,0.019740347933691,0.019708039323708935,3.230860998206658e-05
0.28125,0.96875,False,-0.0099028963499007,-0.009128318803050206,-0.000774577546850494,0.0001914088867437,-0.0006485916346719023,0.0008400005214156022,0.28598409833401,0.263946533203125,0.022037565130885006,0.010730410207294,0.010870200182419194,-0.00013978997512519367,0.020730410207294,0.020870200182419196,-0.00013978997512519714
