id,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
866,0.011687663118374,0.0016876631183736,0.06895251368085,-0.0017651719951336,-0.00078529388786531,0.078125,0.859375,0
898,0.011437600257523,0.0014376002575231,0.073223928686915,-0.0011492117208895,-0.00071064554486032,0.078125,0.890625,0
930,0.011151062794752,0.0011510627947516,0.077652466750608,-0.00062716817196388,-0.00058667838690589,0.078125,0.921875,0
962,0.01082702003314,0.00082702003313975,0.082247200542044,-0.00022222083212508,-0.0004098059586813,0.078125,0.953125,0
994,0.010470923763507,0.0004709237635074,0.086984768710815,3.033783042298e-05,-0.00016438162304235,0.078125,0.984375,0
2,0.01064021669445,0.00064021669444998,0.01173737506761,6.5499058972775e-06,3.8883020062712e-05,0.078125,0.015625,0
34,0.01098403753786,0.0009840375378605,0.011806313227387,-0.00014267527268362,0.00048546961342658,0.078125,0.046875,0
66,0.011472264740297,0.0014722647402967,0.012072645824256,-0.00049865025648442,0.00084857301240434,0.078125,0.078125,0
98,0.011915302020811,0.0019153020208114,0.01250507355905,-0.0010009979389755,0.0011338131942162,0.078125,0.109375,0
130,0.012290807846822,0.0022908078468223,0.013093417237072,-0.0016083031008176,0.0013498970847083,0.078125,0.140625,0
162,0.012600265121149,0.002600265121149,0.013835755880148,-0.0022860636906681,0.0015036217975093,0.078125,0.171875,0
194,0.012849402256727,0.0028494022567268,0.014731710314121,-0.003002883259443,0.0016006877604869,0.078125,0.203125,0
226,0.013044788194741,0.0030447881947412,0.015780984625981,-0.0037302279736256,0.0016463168613726,0.078125,0.234375,0
258,0.01319269236484,0.00319269236484,0.01698333689372,-0.0044425212963373,0.0016454876827086,0.078125,0.265625,0
290,0.013298709161155,0.0032987091611552,0.018338621845218,-0.005117092822476,0.0016030426832206,0.078125,0.296875,0
322,0.013367733602502,0.0033677336025019,0.01984677950969,-0.0057340961259532,0.0015237579061559,0.078125,0.328125,0
354,0.013404061648315,0.0034040616483153,0.021507818980125,-0.0062764566327865,0.0014123923282086,0.078125,0.359375,0
386,0.013411517253971,0.0034115172539707,0.023321806394227,-0.0067298528009994,0.0012737221189422,0.078125,0.390625,0
418,0.013393569733968,0.0033935697339678,0.025288850362462,-0.0070827242113928,0.0011125633815737,0.078125,0.421875,0
450,0.013353426118701,0.0033534261187014,0.027409081383311,-0.0073263011406313,0.00093378462446783,0.078125,0.453125,0
482,0.013294091344655,0.0032940913446547,0.029682626628269,-0.0074546495361043,0.00074230810586542,0.078125,0.484375,0
514,0.013218393797117,0.0032183937971167,0.032109586675866,-0.0074647221215331,0.00054309741138729,0.078125,0.515625,0
546,0.013128973449435,0.0031289734494352,0.034690026606508,-0.0073563996488285,0.00034112770855918,0.078125,0.546875,0
579,0.012645798084529,0.0026457980845293,0.047869181663774,-0.0089137175755636,0.00026203997197494,0.109375,0.578125,0
611,0.012577464123209,0.0025774641232086,0.051916933662717,-0.0084975240432698,-9.3288525443636e-05,0.109375,0.609375,0
643,0.012532031486015,0.0025320314860147,0.056179365880615,-0.0079549900254426,-0.00042703918462939,0.109375,0.640625,0
675,0.012502885954896,0.0025028859548957,0.060656601555314,-0.0072999680279408,-0.00073062718229337,0.109375,0.671875,0
707,0.01248008428954,0.0024800842895396,0.065348740637508,-0.0065496598587173,-0.00099562997917093,0.109375,0.703125,0
739,0.012451530126353,0.0024515301263533,0.070255836545396,-0.0057245895276128,-0.0012137616365926,0.109375,0.734375,0
771,0.012404059994752,0.0024040599947522,0.075377905348278,-0.0048485965918782,-0.0013768396978296,0.109375,0.765625,0
803,0.012324184159984,0.0023241841599836,0.080714926965756,-0.0039488467280624,-0.0014767374700416,0.109375,0.796875,0
835,0.012198411360118,0.002198411360118,0.086266654932689,-0.0030559685312561,-0.0015053257099143,0.109375,0.828125,0
867,0.012013962120508,0.0020139621205078,0.092032256091702,-0.0022045357401167,-0.0014544993471158,0.109375,0.859375,0
899,0.011762945263519,0.0017629452635191,0.098011468031078,-0.0014331407258842,-0.0013165828020741,0.109375,0.890625,0
931,0.011451660267426,0.0014516602674264,0.10421038263703,-0.0007800741713862,-0.0010850092488633,0.109375,0.921875,0
963,0.011099443667818,0.0010994436678183,0.11064212182935,-0.00027370613779647,-0.00075203641527974,0.109375,0.953125,0
995,0.010764225116222,0.00076422511622206,0.11727452166326,4.2721536570997e-05,-0.00029749949449393,0.109375,0.984375,0
3,0.011088117184498,0.0010881171844982,0.011768658259812,-2.277566696488e-06,0.00014643453709043,0.109375,0.015625,0
35,0.011418492211497,0.0014184922114967,0.011877705228032,-0.00019886785732089,0.00093741989754427,0.109375,0.046875,0
67,0.011934524631259,0.0019345246312592,0.012259043510883,-0.00064813889107409,0.0015904510801606,0.109375,0.078125,0
99,0.012423132626238,0.0024231326262384,0.012872086450706,-0.0012778871377775,0.0021081575708036,0.109375,0.109375,0
131,0.012832364673702,0.0028323646737015,0.01370331407081,-0.0020374382975599,0.0025015515286222,0.109375,0.140625,0
163,0.013152093365793,0.0031520933657932,0.014750114250927,-0.0028841139410848,0.0027813419895708,0.109375,0.171875,0
195,0.01338444797691,0.0033844479769098,0.016011993194926,-0.003778868554372,0.0029574057139786,0.109375,0.203125,0
227,0.013536245757974,0.003536245757974,0.017488598609557,-0.0046861185436198,0.0030391421361308,0.109375,0.234375,0
259,0.013616160724879,0.0036161607248794,0.019179645615733,-0.0055739401103422,0.0030356716750552,0.109375,0.265625,0
291,0.013633611481655,0.003633611481655,0.02108495020584,-0.00641406577542,0.0029559383519018,0.109375,0.296875,0
323,0.013598378678734,0.0035983786787339,0.023204399955078,-0.0071818202590788,0.0028087778528894,0.109375,0.328125,0
355,0.013520501656188,0.003520501656188,0.02553792980972,-0.0078560670572227,0.0026029677249328,0.109375,0.359375,0
387,0.013410266335222,0.0034102663352225,0.028085515773476,-0.0084191690931727,0.0023472676659667,0.109375,0.390625,0
419,0.013278192803834,0.0032781928038341,0.030847175180227,-0.0088569604065593,0.002050456641495,0.109375,0.421875,0
451,0.013134944183628,0.0031349441836275,0.033822964466978,-0.0091587330501822,0.0017213698406631,0.109375,0.453125,0
483,0.012991063797183,0.0029910637971833,0.037012968991379,-0.0093172471815624,0.0013689313845576,0.109375,0.484375,0
515,0.012856440929293,0.0028564409292931,0.040417283814291,-0.0093287687251828,0.0010021677650003,0.109375,0.515625,0
547,0.012739445456938,0.0027394454569382,0.0440359952686,-0.0091931217952198,0.00063017700043428,0.109375,0.546875,0
580,0.012366805646294,0.0023668056462941,0.058314605050199,-0.010166438864634,0.00040564401865925,0.140625,0.578125,0
612,0.012335350415929,0.002335350415929,0.063522586343285,-0.0096925008230344,-0.00014184530848639,0.140625,0.609375,0
